week,category,command,goal,level,book,chapter,section,recorded
,Command line proficiency,git,Demonstrate understanding of and ability to perform git first-time setup,,git,1,1.6,
3,Command line proficiency,mkdir,Use mkdir to create a new nested directory within the current directory,,man,,,
,Programming with Python,Python: writing programs,"Demonstrate ability to write and use simple Python programs, such as opening a text file and print all words that end in -ing",,Bird et al,0,,
,Programming with Python,Python: imports,Demonstrate ability to import the NLTK module in Python,C,Bird et al,1,1.2,
,Programming with Python,Python: basics,Demonstrate understanding of indentation in Python,C,Bird et al,1,1.4,
,Programming with Python,Python: built-in functions,Demonstrate ability to find the length of a data structure in Python using len(),C,Bird et al,1,1.4,
,Programming with Python,Python: built-in functions,Demonstrate ability to create a set from another existing data structure in Python,,Bird et al,1,1.4,
,Programming with Python,Python: built-in functions,Demonstrate ability to create a sorted data structure from another existing data structure in Python,,Bird et al,1,1.4,
,Programming with Python,Python: functions,Demonstrate understanding of what a function is in Python,C,Bird et al,1,1.4,
,Programming with Python,Python: functions,"Demonstrate ability to create and use simple functions in Python, such as a function to calculate the lexical diversity of a text",,Bird et al,1,1.4,
,Programming with Python,Python: lists,Demonstrate ability to create a list in Python,C,Bird et al,1,2.1,
,Programming with Python,Python: lists,Demonstrate ability to concatenate lists in Python,C,Bird et al,1,2.1,
,Programming with Python,Python: lists,Demonstrate ability to append data to an existing list in Python,C,Bird et al,1,2.1,
,Programming with Python,Python: lists,Demonstrate ability to access an individual element from a list in Python using an index,C,Bird et al,1,2.1,
,Programming with Python,Python: lists,Demonstrate understanding of zero-based indexing in Python lists,,Bird et al,1,2.2,
,Programming with Python,Python: lists,Demonstrate ability to access a contiguous range of elements from a list in Python using slicing with a start index and an end index,,Bird et al,1,2.2,
,Programming with Python,Python: lists,Demonstrate understanding of and ability to access a contiguous range of elements from a list in Python using slicing with a start index but no end index,,Bird et al,1,2.2,
,Programming with Python,Python: lists,Demonstrate ability to access a contiguous range of elements from a list in Python using slicing with an end index but no start index,,Bird et al,1,2.2,
,Programming with Python,Python: basics,Demonstrate understanding of and ability to use variables in Python,,Bird et al,1,2.3,
,Programming with Python,Python: basics,Demonstrate understanding of the rules governing the names of variables in Python,,Bird et al,1,2.3,
,Programming with Python,Python: strings,Demonstrate ability to create a string in Python,C,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate ability to concatenate strings in Python,C,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate ability to append data to an existing string in Python,C,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate ability to access an individual character from a string in Python using an index,C,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate understanding of zero-based indexing in Python strings,,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate ability to access a contiguous range of characters from a string in Python using slicing with a start index and an end index,,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate understanding of and ability to access a contiguous range of characters from a string in Python using slicing with a start index but no end index,,Bird et al,1,2.4,
,Programming with Python,Python: strings,Demonstrate ability to access a contiguous range of characters from a string in Python using slicing with an end index but no start index,,Bird et al,1,2.4,
,Programming with Python,Python: lists,Demonstrate ability to access a contiguous range of characters from a string in Python using slicing with a negative start index and no end index,,Bird et al,1,3,
,Programming with Python,Python: numbers,Demonstrate understanding of and ability to use numerical comparison operators in Python,,Bird et al,1,4.1,
,Programming with Python,Python: strings,Demonstrate understanding of and ability to use string comparison operators in Python,,Bird et al,1,4.1,
,Programming with Python,Python: conditionals,"Demonstrate understanding of and ability to use if, elif, and else blocks in Python",,Bird et al,1,4.3,
,Programming with Python,Python: basics,Demonstrate understanding of and ability to nest blocks in Python,,Bird et al,1,4.4,
,Programming with Python,Python: loops,Demonstrate understanding of and ability to use for loops in Python,,Bird et al,1,4.4,
,Programming with Python,Python: basics,Demonstrate ability to launch and use the Python interactive interpreter,D,Bird et al,1,,
,Programming with Python,Python: basics,Demonstrate ability to perform basic arithmetic using the Python interactive interpreter,D,Bird et al,1,,
,Programming with Python,Python: basics,Demonstrate understanding of what a syntax error is in Python,C,Bird et al,1,,
,Programming with Python,Python: imports,Demonstrate understanding of what it means to import a module in Python,C,Bird et al,1,,
,Programming with Python,Python: booleans,Demonstrate understanding of and ability to use booleans in Python,,Bird et al,2,1.7,
,Programming with Python,Python: basics,Demonstrate ability to write and use simple Python scripts,,Bird et al,2,3.1,
2,Bash,Command history,Use arrow keys to navigate command history,,Shotts,1,,
1,Command line proficiency,cal,Use cal to print a calendar of the current month,C,Shotts,1,,
